,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
0,浦东 陆家嘴,距地铁2号线东昌路539米,东昌新村,2室1厅1卫,南,6500,高楼层 (共6层),39.94平米
1,奉贤 奉贤金汇,暂无数据,东原郦湾,4室2厅4卫,南,3000,低楼层 (共3层),135.16平米
2,闸北 彭浦,距地铁1号线共康路360米,共和新路4605弄,1室1厅1卫,西南,11000,中楼层 (共13层),93平米
3,宝山 上大,暂无数据,经纬阳光水岸家园(一期),2室1厅1卫,南,4500,中楼层 (共8层),72.06平米
4,徐汇 华东理工,暂无数据,书香苑,2室1厅1卫,南 北,5500,高楼层 (共6层),83平米
5,长宁 西郊,暂无数据,雅园,2室2厅1卫,南,8000,中楼层 (共7层),96平米
6,徐汇 田林,距地铁9号线桂林路358米,宜山路691弄,3室0厅1卫,南,7000,低楼层 (共6层),47平米
7,闵行 梅陇,暂无数据,晶欣坊,3室1厅1卫,南,4500,中楼层 (共26层),89.8平米
8,静安 曹家渡,距地铁2号线江苏路614米,静安城,2室2厅1卫  整租,南,9500,中楼层 (共32层),109.11平米
9,闸北 西藏北路,距地铁8号线中兴路810米,和源馨苑,2室1厅1卫,南,8800,高楼层 (共35层),88.56平米
10,浦东 塘桥,距地铁4号线塘桥573米,宁阳小区,1室1厅1卫,南,3800,高楼层 (共6层),35.26平米
11,闵行 金汇,距地铁10号线(新江湾城-航中路)龙柏新村812米,新东苑国际酒店式公寓,1室1厅1卫,南,7000,中楼层 (共11层),60.19平米
12,浦东 杨东,距地铁2号线上海科技馆840米,香梅花园,4室2厅2卫,西南,30000,高楼层 (共33层),190.43平米
13,长宁 天山,距地铁2号线威宁路658米,天山怡景苑,2室2厅1卫,南,14000,中楼层 (共16层),88.58平米
14,静安 江宁路,距地铁1号线汉中路1106米,句容小区,1室1厅1卫  整租,南,6500,低楼层 (共6层),44.02平米
15,闵行 马桥,暂无数据,中房森林别墅,4室3厅4卫,东,15000,低楼层 (共2层),385.14平米
16,宝山 淞南,暂无数据,长江路440弄,1室1厅1卫  整租,南,3300,低楼层 (共6层),39.84平米
17,青浦 盈浦,暂无数据,西部花苑,3室2厅1卫,南,3500,中楼层 (共6层),93.22平米
